city,country_code,latitude,longitude,name,category_code,total_money_raised,founded_year,coordinates
Seattle,USA,47.603122,-122.333253,Wetpaint,web,$39.8M,2005,"{'type': 'Point', 'coordinates': [47.603122, -122.333253]}"
New York,USA,40.7237306,-73.9964312,Wetpaint,web,$39.8M,2005,"{'type': 'Point', 'coordinates': [40.7237306, -73.9964312]}"
West Hollywood,USA,34.090368,-118.393064,Geni,web,$16.5M,2006,"{'type': 'Point', 'coordinates': [34.090368, -118.393064]}"
New York,USA,40.7464969,-74.0094471,Joost,games_video,$45M,2006,"{'type': 'Point', 'coordinates': [40.7464969, -74.0094471]}"
London,GBR,53.344104,-6.267494,Babelgum,games_video,$13.2M,2007,"{'type': 'Point', 'coordinates': [53.344104, -6.267494]}"
San Francisco,USA,37.778613,-122.395289,Powerset,search,$22.5M,2006,"{'type': 'Point', 'coordinates': [37.778613, -122.395289]}"
Culver City,USA,34.017606,-118.487267,Mahalo,web,$21M,2007,"{'type': 'Point', 'coordinates': [34.017606, -118.487267]}"
San Francisco,USA,37.788482,-122.409173,Kyte,games_video,$23.4M,2006,"{'type': 'Point', 'coordinates': [37.788482, -122.409173]}"
San Diego,USA,32.902266,-117.20834,Veoh,games_video,$69.8M,2004,"{'type': 'Point', 'coordinates': [32.902266, -117.20834]}"
Austin,USA,30.268735,-97.745209,Thoof,web,$1M,2006,"{'type': 'Point', 'coordinates': [30.268735, -97.745209]}"
San Francisco,USA,37.793148,-122.402567,Wesabe,web,$4.7M,2005,"{'type': 'Point', 'coordinates': [37.793148, -122.402567]}"
Pleasanton,USA,37.697805,-121.907768,Jangl SMS,web,$9M,2005,"{'type': 'Point', 'coordinates': [37.697805, -121.907768]}"
New York,USA,37.480999,-122.173887,Jingle Networks,mobile,$88.7M,2005,"{'type': 'Point', 'coordinates': [37.480999, -122.173887]}"
Mountain View,USA,37.4233896,-122.0899512,Jajah,mobile,$33M,2005,"{'type': 'Point', 'coordinates': [37.4233896, -122.0899512]}"
Ramat Gan,ISR,31.046051,34.851612,blogTV,games_video,$3M,2006,"{'type': 'Point', 'coordinates': [31.046051, 34.851612]}"
New York,USA,40.726155,-73.995625,Livestream,games_video,$14.7M,2007,"{'type': 'Point', 'coordinates': [40.726155, -73.995625]}"
NYC,USA,40.801358,-74.3372,AdaptiveBlue,games_video,$24M,2007,"{'type': 'Point', 'coordinates': [40.801358, -74.3372]}"
New York,USA,40.722655,-73.99873,Pando Networks,games_video,$11M,2004,"{'type': 'Point', 'coordinates': [40.722655, -73.99873]}"
