city,country_code,latitude,longitude,name,category_code,total_money_raised,founded_year,coordinates
Pleasanton,USA,37.692934,-121.904945,AdventNet,enterprise,$0,1996,"{'type': 'Point', 'coordinates': [37.692934, -121.904945]}"
San Carlos,USA,37.506885,-122.247573,Postini,web,$0,1999,"{'type': 'Point', 'coordinates': [37.506885, -122.247573]}"
Menlo Park,USA,37.48413,-122.169472,Gizmoz,web,$18.1M,2003,"{'type': 'Point', 'coordinates': [37.48413, -122.169472]}"
Beverly Hills,USA,34.076179,-118.39417,Fox Interactive Media,web,$0,1979,"{'type': 'Point', 'coordinates': [34.076179, -118.39417]}"
,USA,37.269175,-119.306607,CBS,news,$0,1986,"{'type': 'Point', 'coordinates': [37.269175, -119.306607]}"
San Francisco,USA,37.775196,-122.419204,StumbleUpon,web,$18.5M,2002,"{'type': 'Point', 'coordinates': [37.775196, -122.419204]}"
Sunnyvale,USA,37.387845,-122.055197,Plaxo,web,$28.3M,2002,"{'type': 'Point', 'coordinates': [37.387845, -122.055197]}"
New York,USA,40.757725,-73.986011,Viacom,web,$0,1971,"{'type': 'Point', 'coordinates': [40.757725, -73.986011]}"
San Francisco,USA,37.779558,-122.393041,Technorati,advertising,$32.1M,2002,"{'type': 'Point', 'coordinates': [37.779558, -122.393041]}"
New York,USA,40.72604,-73.995722,Meetup,web,$18.3M,2002,"{'type': 'Point', 'coordinates': [40.72604, -73.995722]}"
Mountain View,USA,37.390056,-122.067692,SmugMug,photo_video,$0,2002,"{'type': 'Point', 'coordinates': [37.390056, -122.067692]}"
San Jose,USA,37.295005,-121.930035,eBay,web,$6.7M,1995,"{'type': 'Point', 'coordinates': [37.295005, -121.930035]}"
Stamford,USA,41.049051,-73.563878,Ikan,web,$0,2003,"{'type': 'Point', 'coordinates': [41.049051, -73.563878]}"
Palo Alto,USA,37.44296,-122.151198,Topix,web,$15M,2002,"{'type': 'Point', 'coordinates': [37.44296, -122.151198]}"
Luxembourg City,LUX,51.518132,-0.131916,Skype,software,$76.8M,2003,"{'type': 'Point', 'coordinates': [51.518132, -0.131916]}"
Moscow,RUS,55.755786,37.617633,AllofMP3,games_video,$0,2000,"{'type': 'Point', 'coordinates': [55.755786, 37.617633]}"
Dublin,IRL,53.354997,-6.229255,Steorn,web,$0,2000,"{'type': 'Point', 'coordinates': [53.354997, -6.229255]}"
Burlingame,USA,37.590339,-122.341715,MeeVee,games_video,$25M,2000,"{'type': 'Point', 'coordinates': [37.590339, -122.341715]}"
Redwood City,USA,37.476479,-122.221717,Coghead,web,$11.2M,2003,"{'type': 'Point', 'coordinates': [37.476479, -122.221717]}"
Santa Clara,USA,37.374998,-121.977853,SideStep,web,$32M,1999,"{'type': 'Point', 'coordinates': [37.374998, -121.977853]}"
Seattle,USA,47.620982,-122.359397,Farecast,search,$20.6M,2003,"{'type': 'Point', 'coordinates': [47.620982, -122.359397]}"
San Jose,USA,37.408802,-121.95377,Cisco,network_hosting,$2.5M,1984,"{'type': 'Point', 'coordinates': [37.408802, -121.95377]}"
Santa Clara,USA,37.384949,-121.96761,Intel,hardware,$0,1968,"{'type': 'Point', 'coordinates': [37.384949, -121.96761]}"
